02/08/2013, 10:00, Short, ACM, -300.0000, 29.6000, -8880.00, 3.00
02/08/2013, 15:09, Cover, ACM, 300.0000, 28.8900, 8667.00, 3.00
02/11/2013, 15:43, Cover, UIS, 2000.0000, 24.3391, 48678.10, 3.00
02/19/2013, 15:42, Cover, MNTX, 2000.0000, 10.9700, 21940.00, 3.00
02/20/2013, 10:02, Short, VC, -600.0000, 58.9200, -35352.00, 3.00
02/20/2013, 10:03, Short, RRTS, -1500.0000, 22.7500, -34125.00, 3.00
02/20/2013, 11:11, Cover, VC, 600.0000, 58.0600, 34836.00, 3.00
02/21/2013, 12:28, Cover, RRTS, 200.0000, 22.7000, 4540.00, 3.00
02/21/2013, 12:29, Cover, RRTS, 1200.0000, 22.7100, 27252.00, 0.00
02/21/2013, 12:33, Cover, RRTS, 100.0000, 22.7300, 2273.00, 0.00
03/18/2013, 09:55, Short, STZ, -900.0000, 46.8550, -42169.50, 3.00
03/18/2013, 10:05, Short, THG, -900.0000, 44.7200, -40248.00, 3.00
03/20/2013, 15:29, Cover, STZ, 900.0000, 46.9200, 42228.00, 3.00
05/08/2013, 13:41, Cover, THG, 140.0000, 50.9998, 7139.97, 20.00
05/14/2013, 12:05, Cover, THG, 760.0000, 50.9599, 38729.52, 3.00
