TradeDate,ExecutionTime,TransactionType,Symbol,Quantity,Price,PrincipalAmount,Commission
3/23/2012,9:54:00,Short,MDSO,-671,26.8,-17982.8,3
3/23/2012,10:30:00,Cover,MDSO,671,26.66,17888.86,3
3/26/2012,9:49:00,Short,FINL,-745,25.4,-18923,3
3/26/2012,10:39:00,Cover,FINL,745,25.2297,18796.11,3
3/27/2012,9:55:00,Short,HCKT,-2000,6.0806,-12161.2,3
3/27/2012,15:56:00,Cover,HCKT,2000,6.05,12100,3
3/30/2012,9:55:00,Short,DISCK,-379,47.42,-17972.18,3
3/30/2012,10:11:00,Cover,DISCK,379,46.99,17809.21,3
4/3/2012,9:53:00,Short,ABG,-641,28.41,-18210.81,3
4/3/2012,11:41:00,Cover,ABG,641,28.21,18082.61,3
4/4/2012,9:50:00,Short,ERJ,-535,33.6601,-18008.15,3
4/4/2012,10:31:00,Cover,ERJ,535,33.41,17874.35,3
4/10/2012,9:51:00,Short,PCLN,-24,772.6,-18542.4,3
4/10/2012,10:21:00,Cover,PCLN,24,767,18408,3
4/11/2012,9:51:00,Short,ANIK,-1287,14.7201,-18944.74,3
4/11/2012,14:13:00,Cover,ANIK,997,14.3406,14297.59,3
4/11/2012,14:16:00,Cover,ANIK,290,14.46,4193.4,0
4/12/2012,10:03:00,Short,MCK,-194,92.47,-17939.18,3
4/12/2012,10:54:00,Cover,MCK,194,91.46,17743.24,3
4/18/2012,9:51:00,Short,LOOP,-1000,19.13,-19130,3
4/20/2012,9:42:00,Cover,LOOP,800,19.08,15264,3
4/20/2012,10:17:00,Cover,LOOP,200,19.0999,3819.98,0
4/24/2012,9:55:00,Short,GFSA,-2000,9.22,-18440,3
5/2/2012,9:50:00,Cover,GFSA,100,9.47,947,3
5/2/2012,9:55:00,Cover,GFSA,1900,9.48,18012,0
5/9/2012,10:00:00,Short,QSFT,-720,24.81,-17863.2,3
5/14/2012,9:42:00,Cover,QSFT,720,25.0999,18071.93,3
5/15/2012,9:52:00,Short,VRTX,-270,65.5,-17685,3
5/15/2012,10:17:00,Cover,VRTX,270,64.3,17361,3
5/16/2012,9:52:00,Short,VAC,-600,33.27,-19962,3
5/16/2012,13:05:00,Cover,VAC,600,33.07,19842,3
5/17/2012,9:58:00,Short,CTRP,-600,21.22,-12732,3
5/17/2012,15:49:00,Cover,CTRP,600,20.9299,12557.94,3
5/22/2012,9:48:00,Short,ISIS,-2000,9.62,-19240,3
5/22/2012,12:11:00,Cover,ISIS,2000,9.5299,19059.8,3
5/23/2012,10:34:00,Short,EXPE,-439,45.525,-19985.48,3
5/23/2012,11:14:00,Cover,EXPE,439,45.11,19803.29,3
5/24/2012,9:55:00,Short,AFCE,-600,21.11,-12666,3
5/24/2012,10:06:00,Cover,AFCE,500,20.5,10250,3
5/24/2012,10:09:00,Cover,AFCE,100,20.63,2063,0
5/29/2012,9:48:00,Short,BBBY,-370,74.38,-27520.6,3
5/29/2012,11:43:00,Cover,BBBY,370,73.3799,27150.56,3
6/8/2012,9:50:00,Short,HNP,-2706,27.64,-74793.84,3
6/8/2012,9:54:00,Short,LMNX,-1200,22.7601,-27312.12,3
6/11/2012,9:32:00,Cover,HNP,2706,27.62,74739.72,3
6/11/2012,11:25:00,Cover,LMNX,1200,22.81,27372,3
6/12/2012,9:57:00,Short,DPS,-1747,42.92,-74981.24,3
6/13/2012,10:47:00,Short,WST,-161,49.4501,-7961.47,3
6/13/2012,15:18:00,Cover,WST,161,49.26,7930.86,3
6/14/2012,9:37:00,Cover,DPS,1747,42.4094,74089.27,3
6/14/2012,9:52:00,Short,FDO,-176,72.7828,-12809.78,3
6/14/2012,13:50:00,Cover,FDO,176,72.69,12793.44,3
7/16/2012,9:56:00,Short,EAT,-2433,32.8358,-79889.45,3
7/16/2012,10:03:00,Short,TLK,-542,36.84,-19967.28,3
7/16/2012,15:29:00,Cover,EAT,2433,32.72,79607.76,3
7/16/2012,15:36:00,Cover,TLK,542,36.79,19940.18,3
7/17/2012,9:49:00,Short,TLK,-1200,37.7117,-45254,3
7/17/2012,9:51:00,Short,TLK,-300,37.67,-11301,0
7/17/2012,9:51:00,Short,TLK,-621,37.6632,-23388.86,0
7/17/2012,9:55:00,Short,DIS,-508,49.1911,-24989.06,3
7/17/2012,10:02:00,Cover,DIS,508,48.9599,24871.63,3
7/19/2012,10:05:00,Cover,TLK,2121,37.53,79601.13,3
7/20/2012,9:51:00,Short,MGLN,-1662,54.12,-89947.44,3
7/23/2012,11:37:00,Cover,MGLN,1662,54,89748,3
7/25/2012,9:49:00,Short,HITK,-3000,33.2,-99600,3
8/2/2012,9:33:00,Cover,HITK,73,32.83,2396.59,3
8/2/2012,11:58:00,Cover,HITK,612,32.9152,20144.12,3
8/2/2012,14:02:00,Cover,HITK,700,33.19,23232.99,20
8/6/2012,9:50:00,Short,ASPS,-495,80.8,-39996,3
8/14/2012,11:51:00,Cover,HITK,1070,34.74,37171.8,20
8/28/2012,13:14:00,Cover,HITK,545,35.59,19396.55,3
8/30/2012,11:25:00,Cover,ASPS,495,83.31,41238.45,3
9/14/2012,10:02:00,Short,MAS,-2781,16.15,-44913.15,3
9/14/2012,11:01:00,Cover,MAS,2781,16.0199,44551.34,3
9/17/2012,9:49:00,Short,TKC,-2900,15.55,-45095,3
9/17/2012,11:14:00,Cover,TKC,2900,15.36,44544,3
9/18/2012,9:57:00,Short,MANH,-799,58.66,-46869.34,3
9/18/2012,13:47:00,Cover,MANH,799,58.36,46629.64,3
9/20/2012,10:09:00,Short,UTHR,-797,58.8,-46863.6,3
9/21/2012,10:21:00,Cover,UTHR,500,58.2582,29129.08,3
9/21/2012,11:15:00,Cover,UTHR,297,58.52,17380.44,0
9/24/2012,9:50:00,Short,PKG,-1370,35.0789,-48058.16,3
10/9/2012,12:45:00,Cover,PKG,1370,35.63,48813.1,3
10/11/2012,9:50:00,Short,GWR,-657,70.05,-46022.85,3
10/11/2012,13:50:00,Cover,GWR,657,69.66,45766.62,3
10/12/2012,10:53:00,Short,VMED,-1484,30.9955,-45997.32,3
10/12/2012,15:59:00,Cover,VMED,1484,30.71,45573.64,3
10/15/2012,9:55:00,Short,ENV,-3418,13.7312,-46933.14,3
10/15/2012,10:24:00,Cover,ENV,100,13.56,1356,3
10/15/2012,10:25:00,Cover,ENV,1118,13.5882,15191.58,0
10/15/2012,10:38:00,Cover,ENV,600,13.59,8154,0
10/15/2012,10:50:00,Cover,ENV,1600,13.65,21840,0
10/18/2012,9:56:00,Short,ALL,-1129,42.5201,-48005.19,3
10/19/2012,10:14:00,Cover,ALL,1129,42.3099,47767.91,3
10/23/2012,9:58:00,Short,RNR,-594,81.5217,-48423.87,3
10/23/2012,10:15:00,Cover,RNR,594,81.14,48197.16,3
10/24/2012,9:55:00,Short,SBNY,-690,70.97,-48969.3,3
10/31/2012,11:40:00,Cover,SBNY,690,70.8099,48858.83,3
11/6/2012,9:54:00,Short,KMX,-1190,35.86,-42673.4,3
11/6/2012,12:59:00,Cover,KMX,1190,35.0248,41679.52,3
11/8/2012,9:51:00,Short,DDS,-523,85.8813,-44915.9,3
11/8/2012,11:08:00,Cover,DDS,523,85.1943,44556.6,3
11/9/2012,9:56:00,Short,THRX,-2085,21.6899,-45223.51,3
11/9/2012,13:15:00,Cover,THRX,300,21.37,6411,3
11/9/2012,13:16:00,Cover,THRX,200,21.39,4278,0
11/9/2012,13:20:00,Cover,THRX,1585,21.4455,33991.1,0
11/13/2012,9:52:00,Short,GILD,-626,74.967,-46929.32,3
11/13/2012,11:30:00,Cover,GILD,626,74.2,46449.2,3
11/16/2012,9:57:00,Short,PNK,-3689,13,-47957,3
11/16/2012,14:14:00,Cover,PNK,3689,12.79,47182.31,3
11/26/2012,11:17:00,Short,EIG,-208,19.3804,-4031.12,3
11/26/2012,11:18:00,Short,EIG,-200,19.36,-3872,0
11/26/2012,11:19:00,Short,EIG,-1792,19.3,-34585.6,0
12/3/2012,12:35:00,Cover,EIG,2200,19.1,42020,3
12/4/2012,10:00:00,Short,ADBE,-1281,35.1001,-44963.2,3
12/5/2012,10:46:00,Cover,ADBE,1281,34.9299,44745.2,3
12/6/2012,9:54:00,Short,SWY,-2356,18.39,-43326.84,3
12/6/2012,9:56:00,Cover,SWY,10,18.45,184.5,3
12/6/2012,9:58:00,Cover,SWY,10,18.47,184.7,3
12/6/2012,14:26:00,Cover,SWY,2336,17.99,42024.64,3
12/12/2012,9:58:00,Short,UBS,-2593,16.38,-42473.34,3
12/13/2012,13:24:00,Cover,UBS,2593,16.1499,41876.69,3
12/17/2012,9:51:00,Short,THC,-1399,31.4506,-43999.41,3
1/7/2013,9:59:00,Cover,THC,80,34.2299,2738.39,3
1/10/2013,9:43:00,Cover,THC,1319,33.4522,44123.48,3
1/11/2013,10:00:00,Short,CYH,-1121,33.8555,-37952.06,3
1/11/2013,15:29:00,Cover,CYH,1121,33.7794,37866.74,3
1/14/2013,9:52:00,Short,CVD,-580,65.3607,-37909.18,3
1/14/2013,10:12:00,Cover,CVD,580,64.24,37259.2,3
1/15/2013,9:50:00,Short,SYMC,-1935,20.1403,-38971.48,3
1/17/2013,9:51:00,Short,SYT,-270,85.13,-22985.1,3
1/18/2013,12:33:00,Cover,SYT,270,84.54,22825.79,3
1/18/2013,12:36:00,Cover,SYMC,1935,20.5074,39681.85,3
1/22/2013,9:58:00,Short,WCC,-763,71.86,-54829.18,3
1/22/2013,10:13:00,Short,SKM,-2787,17.93,-49970.91,3
1/23/2013,9:45:00,Cover,SKM,700,17.72,12404,3
1/23/2013,9:46:00,Cover,SKM,2087,17.7299,37002.4,0
1/24/2013,9:54:00,Short,EXR,-800,39.27,-31416.02,3
1/24/2013,9:54:00,Short,EXR,-200,39.25,-7850,0
1/24/2013,10:07:00,Cover,EXR,1000,38.93,38930,3
1/25/2013,10:00:00,Short,UBSH,-1180,16.9034,-19946,3
1/25/2013,10:01:00,Short,EBAY,-355,56.11,-19919.05,3
1/25/2013,13:54:00,Cover,UBSH,600,16.83,10098,3
1/25/2013,13:56:00,Cover,UBSH,580,16.8895,9795.92,0
1/28/2013,10:03:00,Short,WM,-431,37.36,-16102.16,3
1/28/2013,13:19:00,Cover,WM,431,36.05,15537.55,3
1/28/2013,13:19:00,Cover,EBAY,355,55.81,19812.55,3
1/28/2013,15:09:00,Cover,WCC,763,73.69,56225.47,3
1/29/2013,9:53:00,Short,TSN,-2195,22.7313,-49895.25,3
1/29/2013,9:56:00,Short,IBN,-300,46.85,-14055,3
1/29/2013,9:56:00,Short,IBN,-339,46.84,-15878.76,0
1/29/2013,10:02:00,Short,PHG,-997,30.11,-30019.67,3
1/29/2013,15:24:00,Cover,TSN,2195,22.4982,49383.5,3
1/30/2013,9:50:00,Short,LUX,-943,46.6311,-43973.09,3
1/30/2013,14:16:00,Cover,IBN,639,46.53,29732.67,3
1/31/2013,9:51:00,Short,CPRT,-660,35.66,-23535.6,3
1/31/2013,14:53:00,Cover,LUX,943,46.05,43425.15,3
